# LTDB biological metadata verified against Pizzagalli et al. 2018:
#   Table 3 (channel/cell population) and Table 4 (site/stimulus).
# Cell types and imaging sites were cross-checked against the deposited LTDB SQL dump.
# dt_seconds is taken from each file's own header and is authoritative.
video_id,video,population,cohort,cell_type,organ,stimulus,mouse_strain,dt_seconds,verified,provenance
CS001_a,CS001,a,CS,T Cells,popliteal lymph node,HIV-infected humanized T cell,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
CS002_a,CS002,a,CS,T Cells,popliteal lymph node,HIV-infected humanized T cell,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
CS003_a,CS003,a,CS,T Cells,popliteal lymph node,HIV-infected humanized T cell,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
CS004_a,CS004,a,CS,Neutrophils,popliteal lymph node,Influenza Vaccine,,61.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
CS005_a,CS005,a,CS,Neutrophils,spleen,Vaccinia Virus,,32.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
CS006_a,CS006,a,CS,T Cells,popliteal lymph node,HIV-infected humanized T cell,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
CS007_a,CS007,a,CS,Neutrophils,spleen,Vaccinia Virus,,32.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
CS008_a,CS008,a,CS,Neutrophils,spleen,Ovalbumin,,25.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
CS009_a,CS009,a,CS,Neutrophils,spleen,Ovalbumin,,25.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
CS010_a,CS010,a,CS,Neutrophils,popliteal lymph node,Influenza Vaccine,,60.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
CS011_a,CS011,a,CS,Neutrophils,popliteal lymph node,Influenza Vaccine,,30.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
CS012_a,CS012,a,CS,T Cells,popliteal lymph node,Steady State,,20.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
CS013_a,CS013,a,CS,Neutrophils,popliteal lymph node,Influenza Vaccine,,30.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
CS014_a,CS014,a,CS,Neutrophils,popliteal lymph node,Influenza Vaccine,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
CS015_a,CS015,a,CS,Neutrophils,popliteal lymph node,Influenza Vaccine,,12.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
CS016_a,CS016,a,CS,Neutrophils,popliteal lymph node,Influenza Vaccine,,12.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
CS017_a,CS017,a,CS,Neutrophils,popliteal lymph node,Influenza Vaccine,,12.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
CS018_a,CS018,a,CS,Natural Killer Cells,popliteal lymph node,Influenza Vaccine,,30.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB001_a,LTDB001,a,LTDB,Neutrophils,popliteal lymph node,Influenza Vaccine,,60.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB002_a,LTDB002,a,LTDB,Neutrophils,popliteal lymph node,Influenza Vaccine,,60.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB003_a,LTDB003,a,LTDB,Neutrophils,popliteal lymph node,Influenza Vaccine,,13.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB004_a,LTDB004,a,LTDB,Neutrophils,popliteal lymph node,Influenza Vaccine,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB004_b,LTDB004,b,LTDB,Neutrophils,popliteal lymph node,Influenza Vaccine,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB005_a,LTDB005,a,LTDB,Neutrophils,popliteal lymph node,Influenza Vaccine,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB005_b,LTDB005,b,LTDB,Neutrophils,popliteal lymph node,Influenza Vaccine,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB006_a,LTDB006,a,LTDB,Neutrophils,popliteal lymph node,Influenza Vaccine,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB007_a,LTDB007,a,LTDB,Neutrophils,popliteal lymph node,Influenza Vaccine,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB007_b,LTDB007,b,LTDB,Neutrophils,popliteal lymph node,Influenza Vaccine,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB008_a,LTDB008,a,LTDB,Neutrophils,popliteal lymph node,Influenza Vaccine,,30.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB009_a,LTDB009,a,LTDB,Neutrophils,popliteal lymph node,Influenza Vaccine,,14.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB010_a,LTDB010,a,LTDB,B Cells,spleen,Ovalbumin,,30.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB011_a,LTDB011,a,LTDB,Neutrophils,spleen,Ovalbumin,,40.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB012_a,LTDB012,a,LTDB,T Cells,popliteal lymph node,HIV-infected humanized T cell,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB012_b,LTDB012,b,LTDB,T Cells,popliteal lymph node,HIV-infected humanized T cell,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB013_a,LTDB013,a,LTDB,T Cells,popliteal lymph node,HIV-infected humanized T cell,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB014_a,LTDB014,a,LTDB,B Cells,popliteal lymph node,Ovalbumin,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB014_b,LTDB014,b,LTDB,B Cells,popliteal lymph node,Ovalbumin,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB015_a,LTDB015,a,LTDB,T Cells,popliteal lymph node,Steady State,,20.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB016_a,LTDB016,a,LTDB,Neutrophils,popliteal lymph node,Influenza Vaccine,,12.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB017_a,LTDB017,a,LTDB,Neutrophils,popliteal lymph node,Influenza Vaccine,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB017_b,LTDB017,b,LTDB,Neutrophils,popliteal lymph node,Influenza Vaccine,,15.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB018_a,LTDB018,a,LTDB,Natural Killer Cells,popliteal lymph node,Influenza Vaccine,,42.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB019_a,LTDB019,a,LTDB,Natural Killer Cells,popliteal lymph node,Influenza Vaccine,,30.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
LTDB020_a,LTDB020,a,LTDB,Natural Killer Cells,popliteal lymph node,Influenza Vaccine,,30.0,True,10.1038/sdata.2018.129 Tables 3-4|10.6084/m9.figshare.5946472.v1
